Category	Spotlength	Recognitionmax	GRPmax	Budget
Finance	20	73%	817	490200
Finance	20	80%	894	536400
Finance	25	52%	314	188400
Finance	35	32%	423	253800
Finance	45	60%	398	238800
Finance	35	55%	172	103200
Finance	10	32%	330	198000
Finance	35	38%	158	94800
FMCG	30	28%	376	225600
FMCG	20	15%	396	237600
FMCG	25	49%	531	318600
FMCG	25	22%	245	147240
FMCG	25	20%	242	145260
FMCG	30	85%	1070	642000
FMCG	30	39%	436	261600
FMCG	30	30%	207	124200
Telecom	35	38%	347	208200
Telecom	20	32%	116	69600
Telecom	30	84%	768	460800
Telecom	35	58%	221	132600
Telecom	35	54%	261	156600
Telecom	10	24%	440	264000
Telecom	30	34%	484	290400
Finance	45	84%	470	282000
Finance	45	89%	564	338400
Finance	45	71%	343	205800
Finance	30	77%	497	298200
Finance	30	69%	387	232200
Finance	30	89%	650	390000
Finance	30	68%	437	262200
Finance	45	70%	333	199800
Finance	45	91%	402	241200
Finance	45	89%	583	349800
Finance	45	84%	385	231000
Finance	45	96%	633	379800
FMCG	30	82%	875	525000
FMCG	40	83%	406	243636
FMCG	30	57%	225	135000
FMCG	40	87%	414	248400
FMCG	40	64%	318	190800
FMCG	40	81%	761	456600
FMCG	40	92%	554	332400
FMCG	40	75%	420	252000
Telecom	30	57%	698	418800
Telecom	35	19%	607	364200
Telecom	25	70%	715	429000
Telecom	30	47%	320	192000
Telecom	25	31%	379	227400
FMCG	15	29%	373	223800
FMCG	30	73%	1140	684000
FMCG	30	44%	353	211800
FMCG	30	54%	523	313800
FMCG	30	68%	726	435600
FMCG	15	41%	296	177600
FMCG	40	79%	504	302400
FMCG	30	39%	173	103800
FMCG	20	45%	565	339000
FMCG	30	57%	487	292440
FMCG	40	85%	421	252600
FMCG	35	71%	535	321000
FMCG	30	71%	579	347400
Telecom	30	23%	248	148800
Telecom	30	44%	694	416400
Telecom	30	44%	694	416400
Telecom	20	31%	620	372000
Telecom	30	41%	407	244200
Telecom	40	31%	605	363000
Telecom	30	8%	250	150000
Telecom	30	66%	396	237600
Telecom	45	39%	468	280680
Telecom	35	85%	713	427560
Telecom	45	51%	501	300600
Telecom	40	63%	456	273600
